Agency Name,Project Name,Start Date,Completion Date (B1),Lifecycle Cost,Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of Homeland Security,Rescue 21 Deployment,19/08/2005,30/09/2014,258,257.121,236.053
Department of Transportation,Subscription Fees,01/10/2010,30/09/2014,590.038743,241.680509,232.127067
Department of Commerce,GOES-R Core Ground Segment,19/03/2007,31/12/2035,782.089,223.287,223.697
Department of Transportation,En Route Automation Modernization (ERAM),10/12/2002,30/09/2014,2622.4,198.60104,232.548
Department of Defense,Limited Deployment,31/01/2012,31/12/2013,569.976,196.602,196.602
Department of Defense,Sea Navigation Warfare (NAVWAR),15/05/2011,15/11/2012,180.1,180.1,180.1
Department of Energy,NNSA ASC LLNL Sequoia Platform,09/01/2009,30/11/2012,217.331605,178.74352,178.739984
Social Security Administration,FY11 Telecommunications,01/10/2010,30/09/2011,177.52352,177.52352,175.85437
Department of Defense,Transmission Subsystem (TSS) Critical Design Review (CDR),02/07/2007,15/04/2012,287.808,176.842,176.842
Social Security Administration,FY12 Telecommunications Operations and Maintenance,01/10/2011,30/09/2012,166.3723,166.37229,172.01358
Department of Homeland Security,NCPS Maintenance,01/10/2008,30/09/2021,2516.82,162.8,164.306
Department of Homeland Security,Data Center,01/10/2010,30/09/2015,161.9,161.9,161.9
Department of the Treasury,Transition State 1,01/10/2009,30/09/2012,357.336,152.79,153.59
Social Security Administration,"FY12 Data Center Development, Modernization, and Enhancement",01/10/2011,30/09/2012,141.60112,141.60111,143.56605
Department of Agriculture,Initial Operating Capability (IOC) Deployment,07/01/2011,30/09/2012,119.098812,119.099001,122.218486
Department of Defense,Integrated Personnel and Pay System - Army (IPPS-A) Increment I,08/09/2009,07/12/2012,137.526,118.859,151.52
Department of Defense,Engineering and Manufacturing Development,04/03/2010,29/06/2012,161.841,117.691,112.976
Department of Commerce,JPSS-1 Project,01/05/2012,30/11/2015,116.7527,116.7527,116.7527
Department of Homeland Security,NII Maintenance FY12,01/10/2011,30/09/2012,116.114,116.114,116.114
National Aeronautics and Space Administration,FY11 Continuing Science Operations,01/10/2010,30/09/2011,116.733,114.126,115.098
Department of Defense,DISN Technology Refreshment (LETR/0300),01/11/2007,30/09/2017,717.945,113.975,113.974
Department of Transportation,Service Volumes ISAT,01/10/2010,31/12/2013,182.852142,110.494959,104.96837
Department of Commerce,DMSP/METRO Project,01/10/2011,29/02/2012,100.6346,100.6346,83.446
Department of Health and Human Services,ACO Accountable Care Organizations,15/04/2011,16/01/2014,103.589,99.637,106.592
Department of Defense,iEHR Prime Mission Product,18/04/2012,29/09/2013,98.81,98.81,98.81
Department of State,Global IT Modernization PMA,10/01/2011,30/09/2032,98.339,98.339,98.339
Department of Homeland Security,NCPS Block 3.0,01/10/2008,30/09/2016,613.07,96.45,53.36
Department of Commerce,Near-Term NPP Post-Launch Project,01/01/2012,30/09/2012,94.4061,94.4061,112.0589
National Aeronautics and Space Administration,FY11 O&M,01/10/2010,30/09/2011,98.23,89.8,95.179
Department of Defense,Battle Control System-Fixed,26/12/2006,17/02/2012,89.3,89.3,89.3
Department of Homeland Security,System Support and Maintenance,01/10/2010,31/12/2014,88.807,88.807,88.807
Department of Veterans Affairs,iEHR Service Oriented Architecture (SOA) Suite,14/03/2012,15/10/2012,86.697339,86.697339,86.697339
Social Security Administration,FY11 Telephone Systems Replacement Project,01/10/2010,30/09/2011,83.47,83.47,84.96097
Department of Veterans Affairs,VBMS Phase 4,06/03/2012,21/02/2013,82.62749,82.62749,82.62749
Department of Defense,Network Enterprise Domain (NED) Post Deployment Software Support / Post Production Software Support,01/10/2008,30/09/2033,1193.941,81.949,80.77
Department of the Interior,Workplace Computing Services,01/10/2011,30/09/2012,80.331096,80.331096,80.331096
National Aeronautics and Space Administration,NISN FY11 O&M,01/10/2010,30/09/2011,79.962,79.962,80.931
Department of the Treasury,Transition State 2,01/10/2010,31/03/2015,220.814,78.42,78.42
Department of Commerce,Operations and Maintenance,02/04/2012,30/09/2021,76.09074,76.09074,76.09074
Department of Defense,Operations and Support (O&S) during the production phase of the program.,15/12/2011,30/09/2025,6462.761,74.784,0
Department of Defense,Navy ERP Implementation/Deployment,01/10/2010,31/03/2013,74.641,74.64,70.206
Department of Defense,Minuteman MEECN Program Upgrade (MMP-U),15/01/2005,30/12/2015,209.5,73.966,73.966
Department of Transportation,Automation Upgrades,01/10/2010,31/01/2013,80.567407,72.441127,72.092036
Department of Veterans Affairs,Automate GI Bill Long-Term Solution Development,13/09/2011,30/09/2013,151.4,70.948,70.948
Department of Defense,GCCS-J Sustainment,03/10/2011,30/09/2012,70.297,70.296,70.296
Department of the Interior,Hosting Services & Data Center Consolidation Phase 2,01/10/2011,30/09/2012,70.06221,70.06221,70.06221
Department of Health and Human Services,CMS CCIIO Healthcare Insurance Exchange Federal Exchange Program System,01/10/2011,30/09/2015,249.327,68.828,68.828
Nuclear Regulatory Commission,2011 Operations and Maintenance,01/10/2010,30/09/2011,65.88,65.88,65.88
Department of Defense,Virtual Interactive Processing System (VIPS),30/09/2004,30/09/2025,554.696,65.87,43.085
Department of Defense,Increment 2,01/04/2010,30/08/2017,127.2,65.1,65.1
Department of Transportation,Software Development,01/03/2011,28/02/2013,64.6,64.6,64.6
Department of Commerce,AWIPS,01/10/2010,30/09/2011,63.352,63.352,54.629
Department of Homeland Security,Large Scale ARRA,01/03/2009,31/03/2013,88.783,61.932,61.932
Department of Homeland Security,Houlton,01/10/2008,30/09/2012,125.49,60.776,64.618
Department of Commerce,GOES-R Antenna System,19/07/2010,18/07/2020,130.703,60.273,60.371
Department of Homeland Security,ACE Infrastructure Support,01/10/2011,30/09/2012,60.47,60.047,46.525
Department of Commerce,GOES-R Facility Upgrades,01/07/2009,30/06/2014,77.976,59.576,59.555
Department of Health and Human Services,"Document Archiving, Reporting & Regulatory Tracking System",01/12/2004,30/09/2019,150.314,59.06,62.38
Department of Homeland Security,NII Maintenance FY11,01/10/2010,30/09/2011,58.307,58.176,58.176
Social Security Administration,FY11 Intelligent Disability,01/10/2010,30/09/2011,57.95503,57.95503,58.77116
Department of Defense,Joint Environmental Toolkit (JET),28/03/2006,31/07/2015,221.9,57.496,57.496
Social Security Administration,FY12 Office Automation Operations and Maintenance,01/10/2011,30/09/2012,57.38801,57.388,59.06619
Department of Homeland Security,Segment 2,16/04/2009,31/12/2011,142.98,56.478,43.862
Social Security Administration,FY12 DCPS Design & Development,01/10/2011,30/09/2012,56.02087,56.02087,52.61418
Department of Transportation,ERAM/TDLS SW/HW Development Segment 1 Phase 1A (Post-FID 1A),01/06/2012,28/02/2013,55.275485,55.275485,55.275485
Department of Commerce,Census and Related survey IT support for collection and processing,01/07/2011,30/09/2012,54.468197,54.468197,53.025268
Department of Defense,Renew all mission essential hardware support contracts.,01/10/2011,30/09/2012,53.4,53.4,53.4
Department of Health and Human Services,QPI- Physician Quality Reporting System (3002),10/03/2012,29/09/2013,53.04,53.04,53.037
Department of the Interior,Telecommunications Management,01/10/2011,30/09/2012,52.597902,52.597902,52.597902
Department of Veterans Affairs,VBMS Phase 3,02/06/2011,23/08/2012,52.195877,52.195877,52.195877
Department of Defense,Operations and Sustainment,05/09/2010,04/09/2012,51.42,51.42,51.42
Department of Homeland Security,TSA Enterprise Desktop Refresh,16/10/2011,31/08/2012,50.04,50.04,50.04
Social Security Administration,FY11  Disability Determination Services Automation (DDSA),01/10/2010,30/09/2011,49.90049,49.90049,49.54768
Department of Commerce,NWSTG Technology Re-architecture Project,01/10/2012,31/12/2015,49.89,49.89,49.89
Department of Commerce,Research HPC-ORNL,18/06/2009,02/05/2012,49.06,49.06,49.06
Office of Personnel Management,Maintenance Prior to 2012,01/10/2008,30/09/2011,101.548,48.562,45.729
Department of Justice,Federal Bureau of Investigation (FBI) Phase 2 (CJIS),18/10/2010,30/03/2015,48.421,48.420743,48.380336
Department of Transportation,FID 1B: Data Comm Integration Services (DCIS) and Datacomm Network Services (DCNS) Segment 1 Phase 1B,01/07/2011,31/07/2013,47.158435,47.158435,47.158435
Department of Housing and Urban Development,FHA Transformation,12/01/2010,30/09/2016,51.5,47.103,47.103
Department of Agriculture,Enterprise Management,01/10/2010,30/09/2011,46.96,46.96,46.96
Department of Homeland Security,NII Acquisition FY11,01/10/2010,30/09/2013,46.456,46.45,46.45
Social Security Administration,FY11 CARE through 2020,01/10/2010,30/09/2011,46.36025,46.36025,45.05214
Department of Transportation,STARS Tech Refresh - Air Traffic Controller's Main Display Monitor (MDM) Replacements,01/07/2011,30/09/2012,46.32,46.32,46.32
Department of Veterans Affairs,VBMS Phase 2,29/11/2010,24/02/2012,71.293646,45.858336,45.858336
Department of Defense,Increment 1: Pilot B,30/09/2009,15/10/2011,134.182,45.755,45.755
Department of Health and Human Services,Encounter Data Development,01/01/2009,01/01/2015,45.43,45.43,46.108
Office of Personnel Management,New Base Technology,01/10/2008,30/09/2011,322.78,45.359,40.293
Office of Personnel Management,EIO for 2011,01/10/2010,30/09/2011,48.3,45.01,38.429175
Department of Energy,"FY2012 DME Milestones, FY2012 DME Milestone Activities",01/10/2011,30/09/2012,44.690208,44.690208,44.690208
Department of Defense,Joint Battle Command - Platform (JBC-P) Development,01/10/2009,30/09/2013,203.192,44.506,44.495
Office of Personnel Management,Electronic Official Personnel Folder (eOPF),01/10/2004,30/09/2016,557.27,44.12332,41.029145
Department of the Treasury,New Enterprise Portal,01/10/2011,30/09/2013,76.411,44,44.252549
Department of Veterans Affairs,VAM Veteran Benefits Administration (VBA) Phase II,28/04/2011,31/03/2014,43.717105,43.204,38.8836
Social Security Administration,FY12 TSRP Operations and Maintenance,01/10/2011,30/09/2012,43.02655,43.02655,41.83654
National Aeronautics and Space Administration,FY11 O&M Activities,01/10/2010,30/09/2011,42.979,42.979,42.608
Department of Justice,JMD Unified Financial Management System (UFMS),01/10/2002,30/09/2021,851.145712,42.348096,41.958562
Department of Defense,Common Aviation Command and Control System,25/10/2002,30/09/2038,2472.5,42.2,42.5
Department of Health and Human Services,ICD-10 Implement System Updates,01/09/2011,28/02/2013,42.053,42.053,29.061
Department of the Treasury,Bank Secrecy Act (BSA) IT Modernization,03/05/2010,30/04/2013,41.737,41.737,35.3645
Department of Defense,Reserve Component Automation System (RCAS) Lifecycle Software Sustainment.,01/10/2011,30/09/2012,41.487,41.487,41.487
Department of Defense,Reserve Component Automation System (RCAS) Infrastructure Refresh.,01/10/2011,30/09/2012,41.248,41.248,41.248
Department of Commerce,Operational NPP,01/02/2012,30/04/2014,41.06,41.06,41.151
Department of Commerce,R&D HPCS,25/08/2010,28/02/2012,40.7,40.7,40.7
Department of Defense,GCSS-J Increment 7,10/01/2008,31/03/2014,227.643,39.71,39.71
Department of State,GFACS Payroll,01/10/2009,30/09/2014,60.767,39.074,41.038864
Department of Defense,Naval Tactical Command Support System (NTCSS),21/12/1992,31/12/2021,31.1129,39.029,39.029
Department of Commerce,UL Deployment Government Employees Project,02/12/2010,31/05/2012,38.99609,38.99609,40.33717
Department of Defense,Block Upgrade 2 for MIDS-LVT,03/09/2012,30/09/2015,104,38.4,0
Social Security Administration,FY11 DCPS,01/10/2010,30/09/2011,36.76052,36.76052,37.15096
National Aeronautics and Space Administration,NISN/MOVE,08/09/2004,13/03/2012,36.432,36.432,35.823
Department of Health and Human Services,CMS CCIIO Healthcare Insurance Exchange Data Services Hub,01/10/2011,30/09/2015,267.005,35.722,35.722
Department of State,ESOC,01/10/2003,30/09/2017,35.603,35.602873,35.602873
Department of Veterans Affairs,Surgery Quality and Workflow Manager (SQWM),01/08/2010,30/05/2014,204.286,34.952687,24.194589
Department of Defense,Net Centric Waveform (NCW)/Colorless Core Modification Work Order (MWO) - FY12,01/10/2011,30/09/2012,34.848,34.848,34.848
Department of the Treasury,"Modernized eFile, Release 7",27/04/2011,17/05/2012,34,33.975,45.618582
Department of Homeland Security,Rio Grande Valley,04/11/2010,17/10/2012,90.93,33.853,34.083
Department of Commerce,GOES-R Project Office Support,01/10/2006,30/09/2020,233.156,33.728,33.601
Department of Defense,Release 2.0,01/03/2011,24/10/2013,33.574,33.574,33.574
Department of Homeland Security,Maintenance Support,01/10/2011,30/09/2020,115.17,33.347,33.741
Department of Defense,iEHR Program Management,18/04/2012,30/09/2013,33.249,33.249,33.249
Department of Defense,Maintain existing gateways,01/10/2011,01/10/2012,33.1,33.1,33.1
Department of Defense,JPES Development,29/03/2011,10/09/2012,32.987,32.987,14.371
Department of Defense,GCCS-J Modernization,03/10/2011,30/09/2012,32.921,32.918,32.918
Department of Transportation,Segment 2 SWIM Requirements and Architecture,01/07/2011,30/09/2017,246,32.85,32.85
Department of Defense,Operations and Maintenance,01/10/2010,30/09/2017,107.09,32.739,29.176
Department of Defense,Logistics Modernization Program - Increment 2 (Expanded Industrial Base (EIB)),15/01/2012,15/10/2015,32.67,32.67,32.67
Department of Justice,Sentinel,01/10/2010,16/05/2012,32.6383,32.638258,31.548973
Department of Energy,Maintenance and Production Support-FY12 Contractor,01/10/2011,30/09/2012,32.389,32.38812,30.86037
Department of Defense,Renew all mission essential software licenses and support agreements.,01/10/2011,30/09/2012,32.3,32.3,32.3
Department of State,AIS Security Infrastructure Support Program,10/01/2011,30/09/2012,31.83,31.83,31.83
Department of Homeland Security,Large Scale FY10,01/12/2009,31/01/2013,42.861,31.408,31.408
Department of the Treasury,PACS Rollout,01/10/2011,30/09/2016,66.263938,31.313438,31.313438
Department of Homeland Security,Project Management,01/10/2010,31/12/2014,31.272,31.272,30.602
Department of Housing and Urban Development,Next Generation Management (NGMS),15/03/2010,30/09/2013,41.1,30.822917,29.140415
National Aeronautics and Space Administration,FY11 O&M Activities,01/10/2010,30/09/2011,30.6,30.6,25.5
Department of Homeland Security,Engineering,01/08/2010,01/02/2014,31,30.472,30.472
Department of Homeland Security,EAS PEP Expansion,01/02/2010,19/07/2013,50.281,30.168,30.168
Department of Defense,Deliver Increment 1,01/09/2011,28/09/2012,30,30,30
Department of Housing and Urban Development,Enterprise Services - IT Modernization,15/03/2011,30/09/2013,29.5,29.5,29.5
Department of Transportation,Surface/Tower/Terminal Systems Engineering (TFDM),01/10/2010,30/09/2012,29.4055,29.4055,27.112701
Department of Transportation,Site Deployment,06/12/2011,30/05/2013,29.4,29.4,29.4
Department of Homeland Security,AFI System,01/10/2009,30/09/2017,177.7,29.35,29.35
Department of Homeland Security,COTS Upgrade,29/09/2010,31/08/2012,29.199,29.199,29.199
Department of Defense,Joint Personnel Identification System,01/10/2009,26/01/2015,81.551,28.74,28.74
Department of Defense,Field Support,01/10/2011,30/09/2012,28.34,28.34,28.35
Department of Homeland Security,Task Order ECOM,01/05/2011,30/04/2012,29.563,28.143,29.269
Department of Transportation,NEXCOM Segment 1a FY12 Activities,01/10/2011,30/09/2012,28.088267,28.088266,25.925296
Department of the Treasury,"Modernized eFile, Release 8",03/10/2011,29/12/2012,28.05,28.05,27.543
Nuclear Regulatory Commission,Technical Refresh Infrastructure Backbone,01/10/2011,30/09/2012,28,28,28
Department of Transportation,Air Traffic Control (ATC) Surface Advisory Services,01/10/2010,30/09/2014,142.149761,27.942732,19.7913
Social Security Administration,FY11 Office Automation,01/10/2010,30/09/2011,27.83324,27.83324,52.38916
Department of Transportation,Weather Forecast Improvements (NWP),01/10/2010,30/09/2012,27.76489,27.76489,31.215734
Department of Agriculture,CLP Maintenance,01/10/2010,30/09/2024,330.006,27.728684,27.728684
Department of Commerce,Development facility,16/06/2009,15/12/2011,27.6,27.6,27.6
Department of Commerce,Dual Polarization,24/09/2007,23/12/2013,77.77,27.20332,27.203343
Department of Defense,Base Boundary Security Enhancement (BBSE),31/01/2012,31/01/2014,27,27,27
Department of Homeland Security,eHR Acquisition & Deployment,08/06/2012,07/06/2014,111.6,26.859,26.859
Department of Health and Human Services,"QPI - LTC hospitals, IRF and hospice programs (3004)",10/03/2012,01/06/2013,26.85,26.85,26.85
National Aeronautics and Space Administration,FY11 O&M,01/10/2010,30/09/2011,26.7,26.7,26.6
Department of Justice,DIVS Increment 2,04/01/2011,30/09/2011,26.428,26.428,24.609
Social Security Administration,FY12 - Preparation Activities,01/10/2011,30/09/2012,26.32566,26.32566,19.73627
Department of Health and Human Services,Trusted Internet Connection (TIC),01/10/2009,30/08/2014,26.17,26.17,25.377
Social Security Administration,"FY12 Office Automation Development, Modernization, and Enhancement",01/10/2011,30/09/2012,26.15708,26.15707,26.61484
Department of Veterans Affairs,Nationwide Health Information Network Adapter Gateway,01/10/2008,31/12/2012,40.710699,26.043431,26.387298
Department of Health and Human Services,QPI - Psychiatric Hospitals (10322),10/03/2012,14/06/2013,26.03,26.03,26.049
Department of Defense,Block Cycle (BC) 1 for MIDS-JTRS,16/09/2011,15/05/2013,26,26,20.012
Department of Homeland Security,Core SP3,01/10/2006,05/01/2017,65.679,25.893,25.893
Department of Homeland Security,IDENT FY 2013,01/10/2012,30/09/2013,25.844,25.844,25.844
Department of the Interior,L8,01/10/2010,30/09/2013,36.057,25.717258,28.533399
Department of Agriculture,FY12 Operations,01/10/2011,30/09/2012,25.468195,25.468195,0
Department of Commerce,NPOESS Preparatory Project,01/10/2010,30/09/2011,25.4,25.4,34.879
Department of Housing and Urban Development,HIFMIP,27/09/2010,15/05/2012,40.7,25.297873,25.297873
Department of Defense,DMLSS Modules,01/12/2011,31/05/2013,24.88,24.879,24.879
Department of Defense,Software Licenses and Support,01/10/2011,30/09/2012,24.563,24.563,24.563
Department of Defense,SBM DECC Transition,01/10/2008,30/09/2013,122.393,24.385,24.385
Department of the Interior,Transition to Networx Contract,05/07/2011,28/09/2012,24.151191,24.151191,24.151191
Department of Health and Human Services,QPI - Standard Data Processing System,10/03/2012,01/06/2013,23.98,23.98,23.978
U.S. Agency for International Development,State/AID IT Transformation,01/07/2011,28/02/2014,37.322552,23.906127,23.906127
Department of Transportation,Initial and Final Investment Decision,01/01/2011,30/09/2013,23.8,23.8,23.8
Department of Agriculture,CLP PMO Support and Documentation,04/01/2010,30/09/2024,214.054,23.764871,23.633144
Department of Defense,Global Decision Support System (GDSS),11/02/2001,30/09/2021,825.103,23.661,19.132
Department of Transportation,Final Investment Decision (FID) 1A: ERAM/Tower Data Link Services (TDLS) Segment 1 Phase 1A,01/07/2011,31/07/2013,23.409406,23.409406,23.409406
Department of State,Voice Technology,10/01/2011,30/09/2032,23.363,23.363,23.363
Department of Homeland Security,Task Order PROD,06/05/2011,29/04/2012,22.848,22.846,20.809
Department of State,IPMS Operations & Maintenance - FY 2012,01/10/2011,30/09/2012,22.831,22.830001,22.830001
Department of the Treasury,IBM Web Hosting,01/10/2011,30/09/2013,46.21,22.79465,22.894274
Department of Homeland Security,Prototype Segment 2,01/11/2011,31/12/2012,22.7,22.7,22.7
Social Security Administration,FY12 Data Center Management Overhead,03/10/2011,30/09/2012,22.5109,22.5109,22.5109
Department of Transportation,NEXCOM Segment 2 FY12 Activities,01/10/2011,30/09/2012,22.376197,22.376197,22.269866
Department of Defense,"CAF Modernizations (B-1, F-15, F-16, F-22) - SW Development, Maintenance, and Fielding",01/08/2010,01/08/2016,42.307,22.376,22.376
Department of Homeland Security,HSIN 3.0 DME,01/09/2011,01/05/2013,22.342,22.342,22.354
Office of Personnel Management,Legacy Migration,01/10/2011,30/09/2012,22.2935,22.2934,22.2934
Department of Health and Human Services,Enable New and Existing Logical Access Control Systems to use PIV Credentials as required by M-11-11,14/04/2008,30/09/2013,22.241,22.24,19.534
Department of Defense,Technology refresh for FY12,01/11/2011,31/12/2012,22.5,22.204,18.742
Department of Transportation,Separation Management - Automation Risk Mitigation,01/10/2010,30/09/2012,22.186346,22.186346,18.575752
Department of Defense,Full Rate Production Decision Review,13/02/2010,15/09/2012,924.731,22.111,22.111
Department of the Treasury,Enterprise e-Fax (EEF),12/07/2009,01/08/2016,22,22,22
Department of the Interior,Unified Messaging,01/10/2011,30/09/2012,21.944,21.94369,21.94369
Department of Veterans Affairs,Customer Relationship Management (CRM)_Unified Desktop (UD),01/07/2010,30/09/2015,93.055742,21.932999,21.932999
Department of Defense,Electronic Health Record (EHR) Way Ahead is a proposed Major Automated Information System program. Joint DoD/VA project. AoA decision pending. This project is for Initial Planning activities.,24/05/2010,17/04/2012,21.932,21.932,21.932
Department of Transportation,Terminal ATC Separation Services,01/10/2010,30/09/2014,23.028607,21.649915,18.510677
Department of Homeland Security,Network,01/10/2010,30/09/2015,21.61,21.61,21.61
Department of Justice,DIVS Increment 3,03/10/2011,28/09/2012,21.575,21.575,10.138
Department of Homeland Security,Core Case Management Release 1.0,31/07/2011,30/07/2013,22.939,21.553,20.489
Department of Commerce,WCOSS Bridge Contract FY11/FY13,19/07/2011,30/09/2013,21.86,21.351,21.348
National Aeronautics and Space Administration,FY11 O&M Activities,01/10/2010,30/09/2011,21.201,21.201,21.201
Department of Justice,NCIC Legacy Migration.,05/10/2011,28/02/2014,21.07708,21.077,20.90629
Social Security Administration,FY12 TSRP Project Implementation,01/10/2011,30/09/2012,21.06311,21.06311,20.91809
General Services Administration,FY11 BAAR Investment,01/10/2010,30/03/2012,21.058,21.058,19.49
Department of Agriculture,FNCS IT Infrastructure Operations and Maintenance FY2012,01/10/2011,30/09/2012,21.04546,21.04546,21.045495
Department of Homeland Security,LBI Phase 1,01/10/2010,31/12/2011,23.348,20.893,15.699
Department of Veterans Affairs,Chapter 33 Release 5_1,16/05/2011,17/10/2011,23.178888,20.860999,20.215944
U.S. Agency for International Development,Data Center,01/06/2011,30/09/2013,20.7,20.7,20.47
Department of the Treasury,Public User Portal,01/10/2011,30/09/2013,41.36,20.64635,21.642616
Department of Health and Human Services,QPI- Hospital Value Based Purchasing(3001),10/03/2012,30/06/2013,20.546,20.546,20.546
Department of Commerce,Climate Data Records,01/10/2010,30/09/2012,75,20.5,19.576
Department of Transportation,"Flight and State Data Management - Common Status and Structural Data (Separation, Tactical, Strategic Trajectory Management)",01/10/2010,30/09/2012,20.295929,20.295929,18.719569
Department of the Interior,"ANSS Development, Modernization and Expansion",01/10/2010,30/09/2013,20.201,20.201,0.393175
Department of Homeland Security,Core SP2,01/10/2006,05/01/2017,46.222,20.185,20.185
Department of Health and Human Services,ESRD QIP-DECC,07/05/2012,07/05/2013,20.164,20.164,20.463
Department of Transportation,Delphi Version One,01/10/2000,30/09/2013,95.77,20.141,20.141
Department of Transportation,Demonstration and Infrastructure Development - Future Planning,01/10/2010,30/09/2012,20.120384,20.120384,25.407394
Department of Health and Human Services,IT Infrastructure DCCI (Data Center Consolidation Initiative),01/06/2009,30/09/2015,20.108,20.108,20.051
Department of Transportation,Release 3 Development and Deployment (Iono-Robustness) - APB MILESTONE,01/04/2011,30/09/2012,20.08,20.08,19.41
Department of Homeland Security,2012 TWIC Maintenance,01/10/2011,30/09/2012,20,20,20
Department of Defense,AFATDS Capability Set 15-16 (V6.8.X),26/03/2012,15/03/2015,59.1,19.7,19.7
Department of the Treasury,PMO/E&A,01/10/2011,31/12/2012,19.66,19.66,19.66
Department of Transportation,Complete Deployment 3 and 4 Technology Refreshes,01/10/2009,28/02/2012,19.611,19.611,20.410702
Department of Defense,Biometrics Enabling Capability,01/10/2008,31/12/2012,131.388,19.52,25.376
Department of Homeland Security,Digital in Place,30/09/2011,30/09/2013,328.24,19.5,19.5
Social Security Administration,FY12 TeleService Center (TSC) Deployments,01/01/2012,30/09/2012,19.1,19.1,24.375
Department of Defense,DISS Family of Systems (FoS),18/10/2011,31/12/2014,40,19,19
Department of Homeland Security,IDENT FY 2012,01/10/2011,30/09/2012,18.677,18.677,18.677
Department of the Interior,"ANSS - ARRA- Development, Modernization and Expansion",01/04/2009,30/09/2011,19.5,18.638,18.638
Social Security Administration,FY12 Interactive Voice Response (IVR) Services,27/11/2011,30/09/2012,18.4,18.4,18.88
Social Security Administration,FY12 ITS Costs,01/10/2011,30/09/2012,18.23801,18.238,18.94868
Department of Transportation,Sustainment Activities-Segment 1 and 2,01/03/2011,30/09/2012,18.214,18.214,18.212445
Department of Defense,JOINT WORLDWIDE INTELLIGENCE COMMUNICATIONS SYSTEM (JWICS) (LE2M/0300),01/10/2008,30/09/2017,112.442,18.1,18.1
Nuclear Regulatory Commission,Implement Acquisition module,31/10/2010,31/03/2014,18.1,18.1,18.1
Department of Defense,Hardware Procurement,01/10/2011,30/09/2012,18.032,18.032,18.032
Department of Homeland Security,Data Center Migration,01/07/2011,30/09/2012,18,18,20.8
Department of the Treasury,Account Management Services (AMS),01/10/2011,30/09/2012,20.87,17.827732,16.860007
Department of Homeland Security,Cargo Iteration,14/08/2011,23/06/2012,17.76,17.76,17.76
Department of Health and Human Services,CDER/CBER FAERS,01/04/2009,30/06/2012,45.017,17.726,23.178
Department of Transportation,Ground Based Interval Management (GIM),01/10/2010,30/09/2014,104.430457,17.707637,17.420569
